season,team
2012,Detroit Tigers
2012,New York Yankees
2012,Oakland Athletics
2012,San Francisco Giants
2012,St. Louis Cardinals
2012,Texas Rangers
2012,Washington Nationals
2013,Atlanta Braves
2013,Boston Red Sox
2013,Cincinnati Reds
2013,Cleveland Guardians
2013,Detroit Tigers
2013,Los Angeles Dodgers
2013,Oakland Athletics
2013,Pittsburgh Pirates
2013,St. Louis Cardinals
2013,Tampa Bay Rays
2014,Baltimore Orioles
2014,Detroit Tigers
2014,Kansas City Royals
2014,Los Angeles Angels
2014,Los Angeles Dodgers
2014,Oakland Athletics
2014,Pittsburgh Pirates
2014,San Francisco Giants
2014,St. Louis Cardinals
2014,Washington Nationals
2015,Chicago Cubs
2015,Houston Astros
2015,Kansas City Royals
2015,Los Angeles Dodgers
2015,New York Mets
2015,New York Yankees
2015,Pittsburgh Pirates
2015,St. Louis Cardinals
2015,Texas Rangers
2015,Toronto Blue Jays
2016,Baltimore Orioles
2016,Boston Red Sox
2016,Chicago Cubs
2016,Cleveland Guardians
2016,Los Angeles Dodgers
2016,New York Mets
2016,San Francisco Giants
2016,Texas Rangers
2016,Toronto Blue Jays
2016,Washington Nationals
2017,Arizona Diamondbacks
2017,Boston Red Sox
2017,Chicago Cubs
2017,Cleveland Guardians
2017,Colorado Rockies
2017,Houston Astros
2017,Los Angeles Dodgers
2017,Minnesota Twins
2017,New York Yankees
2017,Washington Nationals
2018,Atlanta Braves
2018,Boston Red Sox
2018,Chicago Cubs
2018,Cleveland Guardians
2018,Colorado Rockies
2018,Houston Astros
2018,Los Angeles Dodgers
2018,Milwaukee Brewers
2018,New York Yankees
2018,Oakland Athletics
2019,Atlanta Braves
2019,Houston Astros
2019,Los Angeles Dodgers
2019,Milwaukee Brewers
2019,Minnesota Twins
2019,New York Yankees
2019,Oakland Athletics
2019,St. Louis Cardinals
2019,Tampa Bay Rays
2019,Washington Nationals
2020,Atlanta Braves
2020,Chicago Cubs
2020,Chicago White Sox
2020,Cincinnati Reds
2020,Cleveland Guardians
2020,Houston Astros
2020,Los Angeles Dodgers
2020,Miami Marlins
2020,Milwaukee Brewers
2020,Minnesota Twins
2020,New York Yankees
2020,Oakland Athletics
2020,San Diego Padres
2020,St. Louis Cardinals
2020,Tampa Bay Rays
2020,Toronto Blue Jays
2021,Atlanta Braves
2021,Boston Red Sox
2021,Chicago White Sox
2021,Houston Astros
2021,Los Angeles Dodgers
2021,Milwaukee Brewers
2021,New York Yankees
2021,San Francisco Giants
2021,St. Louis Cardinals
2021,Tampa Bay Rays
2022,Atlanta Braves
2022,Cleveland Guardians
2022,Houston Astros
2022,Los Angeles Dodgers
2022,New York Mets
2022,New York Yankees
2022,Philadelphia Phillies
2022,San Diego Padres
2022,Seattle Mariners
2022,St. Louis Cardinals
2022,Tampa Bay Rays
2022,Toronto Blue Jays
2023,Arizona Diamondbacks
2023,Atlanta Braves
2023,Baltimore Orioles
2023,Houston Astros
2023,Los Angeles Dodgers
2023,Miami Marlins
2023,Milwaukee Brewers
2023,Minnesota Twins
2023,Philadelphia Phillies
2023,Tampa Bay Rays
2023,Texas Rangers
2023,Toronto Blue Jays
2024,Atlanta Braves
2024,Baltimore Orioles
2024,Cleveland Guardians
2024,Detroit Tigers
2024,Houston Astros
2024,Kansas City Royals
2024,Los Angeles Dodgers
2024,Milwaukee Brewers
2024,New York Mets
2024,New York Yankees
2024,Philadelphia Phillies
2024,San Diego Padres
2025,Boston Red Sox
2025,Chicago Cubs
2025,Cincinnati Reds
2025,Cleveland Guardians
2025,Detroit Tigers
2025,Los Angeles Dodgers
2025,Milwaukee Brewers
2025,New York Yankees
2025,Philadelphia Phillies
2025,San Diego Padres
2025,Seattle Mariners
2025,Toronto Blue Jays
